Category,Institution,Name,Description,Focus Areas,Contact,Website
Academia,University of St.Gallen (HSG),School of Management (SoM-HSG),"Research and teaching in business administration, strategy, and innovation.","Business Strategy, Innovation, Leadership",som@unisg.ch,https://som.unisg.ch
Academia,University of St.Gallen (HSG),School of Finance (SoF-HSG),"Research on financial markets, banking, corporate finance, and risk analysis.","Banking, Corporate Finance, Risk Management",sof@unisg.ch,https://sof.unisg.ch
Academia,University of St.Gallen (HSG),School of Economics and Political Science (SEPS-HSG),"Research on economic policy, macroeconomics, and global markets.","Economic Policy, Macroeconomics, International Economics",seps@unisg.ch,https://seps.unisg.ch
Academia,University of St.Gallen (HSG),School of Law (LS-HSG),Legal research and education with a focus on business law.,"Business Law, Technology Law, Corporate Law",law@unisg.ch,https://law.unisg.ch
Academia,University of St.Gallen (HSG),School of Humanities and Social Sciences (SHSS-HSG),"Interdisciplinary research on society, ethics, and culture.","Ethics, Philosophy, Social Innovation",shss@unisg.ch,https://shss.unisg.ch
Academia,University of St.Gallen (HSG),School of Computer Science (SCS-HSG),"Research and teaching in artificial intelligence, data science, and IT strategy.","Artificial Intelligence, Data Science, IT Strategy",scs@unisg.ch,https://scs.unisg.ch
Academia,University of St.Gallen (HSG),"Institute of Accounting, Controlling & Auditing (ACA-HSG)","Research and education in accounting, financial control, and compliance.","Accounting, Financial Control, Compliance",aca@unisg.ch,https://aca.unisg.ch
Academia,University of St.Gallen (HSG),Institute of Financial Economics and Finance (IFF-HSG),"Research on financial markets, banking, and corporate finance.","Banking, Financial Markets, Corporate Finance",iff@unisg.ch,https://iff.unisg.ch
Academia,University of St.Gallen (HSG),Institute of Economic Research & Policy (FGN-HSG),"Analysis and consulting on economic policy, market behavior, and macroeconomics.","Economic Policy, Macroeconomics, Market Analysis",fgn@unisg.ch,https://fgn.unisg.ch
Academia,University of St.Gallen (HSG),"Institute of Management, Technology & Law (MTRL-HSG)","Combining management, technological developments, and legal aspects.","Technology, Law, Management",mtrl@unisg.ch,https://mtrl.unisg.ch
Academia,University of St.Gallen (HSG),Institute of Business Administration (IfB-HSG),"Research on business strategy, organization, and corporate governance.","Strategy, Corporate Governance, Organization",ifb@unisg.ch,https://ifb.unisg.ch
Academia,University of St.Gallen (HSG),Institute of Technology and Innovation Management (ITEM-HSG),Research on innovation processes and technological developments.,"Innovation, Technology, Digitalization",item@unisg.ch,https://item.unisg.ch
Academia,University of St.Gallen (HSG),Institute of Leadership & Human Resource Management (I.FPM-HSG),"Research on leadership, HR management, and organizational development.","Leadership, HR Management, Organizational Development",ifpm@unisg.ch,https://ifpm.unisg.ch
Academia,University of St.Gallen (HSG),Swiss Institute for Small and Medium-Sized Enterprises (KMU-HSG),"Support for SMEs and family businesses through research, teaching, and knowledge transfer.","SMEs, Family Businesses, Corporate Strategy",kmu@unisg.ch,https://kmu.unisg.ch
